,genre,tempo,time sig,mode,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,Artist,Track,preview
0,acoustic,75.0,4,0,0.355,0.455,0.607,8.27e-06,0.119,-8.27,0.039,0.636,The Whitlams,No Aphrodisiac - Original,
1,acoustic,125.0,3,0,0.859,0.624,0.217,0.0,0.7,-9.54,0.0481,0.287,Hozier,Take Me to Church - Live From Spotify London,https://p.scdn.co/mp3-preview/e4aae59c7a795bff7015c4a9da226d851b5d87cc?cid=5ec0c1e4fb5642debb818e2be13bd1e4
2,acoustic,142.0,4,1,0.376,0.463,0.368,0.0,0.149,-11.546,0.048,0.75,Laura Marling,Ghosts,
3,acoustic,112.0,4,1,0.32,0.545,0.59,0.000389,0.124,-6.693,0.0327,0.127,Edward Sharpe & The Magnetic Zeros,Home,
4,acoustic,103.0,4,1,0.00205,0.66,0.802,0.0,0.399,-4.856,0.0373,0.62,Justin Bieber,Never Let You Go,
5,acoustic,154.0,4,1,0.76,0.285,0.186,7.3e-05,0.104,-12.729,0.0288,0.203,The Civil Wars,Poison & Wine,https://p.scdn.co/mp3-preview/4022885d41d67875ea5d13dfa5519474ab482223?cid=5ec0c1e4fb5642debb818e2be13bd1e4
6,acoustic,102.0,4,1,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,0.51,Vance Joy,Riptide,https://p.scdn.co/mp3-preview/0dd45171d094ca8d374219054879662fe7982462?cid=5ec0c1e4fb5642debb818e2be13bd1e4
7,acoustic,90.0,4,1,0.844,0.476,0.408,0.111,0.125,-11.216,0.0305,0.0568,Alex Cornell,Sex On Fire,https://p.scdn.co/mp3-preview/8a7e2847468d56909716058b4437eca8d60ad973?cid=5ec0c1e4fb5642debb818e2be13bd1e4
8,acoustic,104.0,4,0,0.474,0.692,0.564,0.0,0.112,-6.053,0.0918,0.637,Sam Sparro,American Boy - Radio 1 Live Lounge,
9,acoustic,153.0,4,1,0.513,0.276,0.59,2.8e-06,0.148,-7.679,0.0268,0.547,Håkan Hellström,Gårdakvarnar och skit,https://p.scdn.co/mp3-preview/e59c899f796368c9ddfc6fa86828c2bf832f38a7?cid=5ec0c1e4fb5642debb818e2be13bd1e4
10,acoustic,176.0,4,1,0.896,0.619,0.0568,0.0967,0.114,-19.197,0.0433,0.357,Jack Johnson,Angel,
11,acoustic,108.0,4,1,0.559,0.527,0.361,3.95e-05,0.152,-11.214,0.0282,0.337,The Weepies,World Spins Madly On,https://p.scdn.co/mp3-preview/08ab97cc2b86a9e228efa29c5d18c275fc6b2dac?cid=5ec0c1e4fb5642debb818e2be13bd1e4
12,acoustic,97.0,4,1,0.905,0.563,0.112,0.0,0.0954,-12.916,0.0398,0.179,Sue Ellen,Everybody Wants To Rule the World,
13,acoustic,100.0,4,1,0.231,0.758,0.413,0.0,0.472,-9.216,0.0663,0.728,Tyler Ward,"Tonight, Tonight",https://p.scdn.co/mp3-preview/d0497efbe84c3e17cb895dbdff10823afb7d69bd?cid=5ec0c1e4fb5642debb818e2be13bd1e4
14,acoustic,117.0,3,1,0.949,0.532,0.0744,1.22e-05,0.106,-16.092,0.0355,0.125,Sarah McLachlan,Angel,https://p.scdn.co/mp3-preview/fe703f824b494d3a131b87068b6c543f03047f9d?cid=5ec0c1e4fb5642debb818e2be13bd1e4
15,acoustic,125.0,4,1,0.804,0.518,0.386,0.0,0.633,-9.294,0.0321,0.287,Kurt Hugo Schneider,Don't You Worry Child,https://p.scdn.co/mp3-preview/bd831a60de87625fad0cd03f87b20e53a63df8e5?cid=5ec0c1e4fb5642debb818e2be13bd1e4
16,acoustic,104.0,4,1,0.865,0.51,0.376,0.000121,0.113,-10.995,0.0307,0.321,Plain White T's,Hey There Delilah,
17,acoustic,145.0,4,0,0.318,0.561,0.616,4.47e-05,0.405,-9.69,0.195,0.683,Nirvana,Lake Of Fire,
18,acoustic,128.0,4,1,0.603,0.697,0.474,0.0,0.11,-6.663,0.0351,0.249,Colbie Caillat,Bubbly,
19,acoustic,75.0,4,1,0.385,0.509,0.538,0.0,0.104,-7.335,0.0572,0.244,Passenger,Let Her Go,https://p.scdn.co/mp3-preview/63f413aabb9ba8c4a4114de4f313413a514a47e9?cid=5ec0c1e4fb5642debb818e2be13bd1e4
