,genre,tempo,time sig,mode,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
0,acoustic,79.0,4,1,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,0.591
1,acoustic,141.0,4,0,0.747,0.346,0.562,0.237,0.148,-9.289,0.0442,0.261
2,acoustic,76.0,4,1,0.793,0.597,0.267,0.0014,0.111,-8.796,0.0309,0.246
3,acoustic,86.0,4,1,0.859,0.387,0.352,0.0,0.135,-6.864,0.027,0.137
4,acoustic,119.0,4,0,0.312,0.496,0.531,0.00901,0.113,-9.889,0.0325,0.507
5,acoustic,74.0,4,1,0.323,0.422,0.405,0.0,0.15,-11.126,0.101,0.578
6,acoustic,81.0,4,1,0.684,0.34,0.144,0.00112,0.101,-14.502,0.0419,0.147
7,acoustic,199.0,3,1,0.674,0.261,0.458,0.00152,0.0854,-6.895,0.0307,0.388
8,acoustic,139.0,4,1,0.33,0.542,0.656,0.0,0.667,-10.246,0.127,0.558
9,acoustic,87.0,4,1,0.829,0.366,0.269,1.67e-05,0.108,-8.456,0.0287,0.492
10,acoustic,122.0,4,1,0.417,0.391,0.45,0.000335,0.14,-9.251,0.0306,0.344
11,acoustic,76.0,4,1,0.499,0.611,0.35,7.84e-06,0.0844,-14.48,0.0356,0.36
12,acoustic,136.0,4,1,0.557,0.608,0.351,0.00892,0.201,-9.316,0.03,0.157
13,acoustic,166.0,1,1,0.911,0.233,0.321,0.000181,0.176,-7.332,0.0328,0.213
14,acoustic,114.0,4,1,0.77,0.424,0.234,0.0,0.0744,-9.731,0.0299,0.302
15,acoustic,157.0,4,1,0.941,0.526,0.299,0.097,0.106,-13.797,0.031,0.679
16,acoustic,94.0,4,1,0.00644,0.816,0.794,0.00668,0.0791,-6.095,0.0486,0.786
17,acoustic,120.0,4,0,0.848,0.692,0.391,0.0,0.13,-6.601,0.0346,0.446
18,acoustic,136.0,4,0,0.549,0.467,0.682,0.000366,0.982,-8.26,0.0843,0.208
19,acoustic,177.0,4,1,0.159,0.577,0.756,0.000232,0.249,-5.82,0.115,0.663
20,acoustic,95.0,4,1,0.0883,0.554,0.515,2.7e-05,0.883,-8.534,0.024,0.432
21,acoustic,79.0,4,1,0.564,0.61,0.44,0.000897,0.0923,-7.864,0.0256,0.168
